fintype	type	index	image	md_path	background_story	information	round	question	A	B	C	D	answer
资产配置分析	frg	130548	data/figure/frg/2022-12-07--酿酒行业-百润股份-预调鸡尾酒行业龙头，强爽与清爽蓄力成长_page3_图百润股份历史沿革图.jpg					以下哪些年份中，RIO品牌进行了重大升级或调整？	2005	2009	2013	2018	A;C
资产配置分析	frg	130569	data/figure/frg/2023-10-12--商业百货-小商品城-公司深度报告：向国际贸易综合服务商再升级，顺风而起佳音可期_page5_图2小商品城股权结构截至2023H1.jpg					图中直接持股比例超过50%的股东是以下哪些？	中国工商银行股份有限公司	义乌市任命政府国有资产监督管理办公室	浙江省财政厅	浙江浙财资本管理有限公司	B
资产配置分析	frg	130571	data/figure/frg/2023-07-16--装修建材-永艺股份-办公椅龙头内外并进，全球产能布局领先_page4_图1公司发展历程.jpg					以下哪些年份公司进行了重大生产基地建设或扩建？	2005	2009	2014	2018	A;B;D
资产配置分析	frg	130573	data/figure/frg/2023-08-27--化纤行业-桐昆股份-公司深度报告：聚酯为基，炼化为翼，长期投资价值凸显_page20_图44泰昆石化印尼有限公司持股结极.jpg					图中直接持有泰昆石化（印尼）有限公司股权的公司有哪些？	上海青翊实业发展有限公司	桐昆（香港）投资有限公司	罗科史巴克有限公司	华灿国际有限公司	B;D
资产配置分析	frg	130580	data/figure/frg/2023-07-25--航天航空-航材股份-首次覆盖报告：新材料系列#7：航空特材“航母”级平台；积累深厚资产稀缺_page19_图50公司透明产业链梳理国内外航空透明供应商梳理.jpg					图中提到的国内外航空透明供应商有哪些？	PPG工业	航材股份	SAINT-GOBAIN	铁锚玻璃	A;B;C;D
资产配置分析	frg	130622	data/figure/frg/2023-07-07--有色金属-西部矿业-“矿山选冶+盐湖化工”产业布局共驱公司成长_page4_图表1公司股权结构截至2023年6月28日.jpg					以下哪些公司是西部矿业股份有限公司的全资子公司？	锡铁山分公司	双利矿业	新疆瑞伦	会东大梁	A;B;C;D
资产配置分析	frg	130638	data/figure/frg/2022-10-14--通用设备-祥鑫科技-首次覆盖报告：好赛道搭配好客户，新能源助推快成长_page7_图5祥鑫科技股权结构情况更新时间2022年9月28日.jpg					祥鑫科技股份有限公司的股东中，哪些股东直接持股比例超过20%？	陈荣	谢祥娃	朱祥	东莞市荣辉股权投资企业（有限合伙）	A;B
资产配置分析	pg	130690	data/figure/pg/2023-03-15--通信服务-中国移动-运营商龙头，数字经济领导者_page24_图522021绽放杯大赛参赛项目行业领域占比单位.jpg					根据图中数据，以下哪些行业领域的项目占比在5%到10%之间？	智慧医疗	智慧城市	智慧园区	工业互联网	A;B
资产配置分析	sdt	131756	data/figure/sdt/2024-03-19--仪器仪表-容知日新-智能运维百亿蓝海，行业龙头领跑掘金_page47_图表76可比公司估值情况.jpg					基于2023E的市值和股价，以下哪些公司的市盈率（PE）高于行业平均值？	宝信软件	东华测试	中控技术	柏楚电子	B;D
资产配置分析	L3Q3_4	340014	data/figure/L3Q3_4/图片21.jpg			甲公司目前生产 A、B 两种产品，需要使用同一台机器设备，该设备每月提供的最大加工时间 10 000 分钟，固定制造费用总额 140 000 元。相关资料如图。2021 年 8 月末，甲公司预计未来每月正常市场需求可达 A 产品 900 件、B 产品 350 件。	2.0	为满足正常市场需求，在充分利用现有机器设备产能基础上，甲公司追加一台机器设备，每月可增加机器工时 7 000 分钟。若追加设备的相关成本 120 000 元，剩余生产能力无法转移，计算追加设备对公司税前经营利润的影响。					200000
资产配置分析	L3Q3_4	340014	data/figure/L3Q3_4/图片21.jpg			甲公司目前生产 A、B 两种产品，需要使用同一台机器设备，该设备每月提供的最大加工时间 10 000 分钟，固定制造费用总额 140 000 元。相关资料如图。2021 年 8 月末，甲公司预计未来每月正常市场需求可达 A 产品 900 件、B 产品 350 件。	3.0	在甲公司追加产能的前提下，如果在正常市场需求外甲公司拟参加客户丙的一项招标：丙订购 A 产品 360 件，1 个月交货。甲公司使用成本加成定价法制定投标价格，在成本基础上的总加成额 72 000 元。若机器设备剩余生产能力无法转移，计算甲公司投标的最低单价。					2200
